product_id,name,category,brand,price,in_stock,rating,reviews_count,updated_at,spec_screen_type,spec_screen_size,spec_smart_tv,spec_processor,spec_ram,spec_storage,spec_camera,spec_battery
Pwb188,Profound multimedia migration,Television,Sony,1092.17,True,4.0,291,2025-07-18T02:59:12.776438,OLED,43 inch,True,,,,,
kxH126,Innovative mobile orchestration,Laptop,Dell,835.64,False,4.1,300,2025-07-18T02:59:12.776597,,15.6 inch,,Intel i7,8GB,512GB SSD,,
iHl625,Sharable fault-tolerant policy,Smartphone,OnePlus,1952.45,True,3.5,41,2025-07-18T02:59:12.776723,,,,Snapdragon 8 Gen 2,,256GB,48MP,3000mAh
GGt052,User-friendly fault-tolerant attitude,Laptop,HP,1352.87,True,4.0,343,2025-07-18T02:59:12.776862,,15.6 inch,,Intel i5,8GB,512GB SSD,,
Luh613,Organized uniform productivity,Smartphone,Samsung,1480.12,True,3.8,473,2025-07-18T02:59:12.777029,,,,Snapdragon 8 Gen 2,,128GB,48MP,3000mAh
mWU864,Reduced intermediate encoding,Laptop,Dell,1685.35,True,3.6,436,2025-07-18T02:59:12.777096,,15.6 inch,,Intel i5,16GB,512GB SSD,,
rYm727,Polarized client-server Graphic Interface,Smartphone,OnePlus,1395.19,False,4.3,999,2025-07-18T02:59:12.777171,,,,A16 Bionic,,128GB,12MP,4000mAh
PfR922,Robust secondary toolset,Smartphone,Samsung,850.73,True,4.2,908,2025-07-18T02:59:12.777231,,,,A16 Bionic,,256GB,12MP,3000mAh
Onl694,Reverse-engineered homogeneous intranet,Laptop,HP,1886.12,True,4.3,153,2025-07-18T02:59:12.777283,,13.3 inch,,AMD Ryzen 5,8GB,256GB SSD,,
qyQ618,Multi-channeled solution-oriented attitude,Smartphone,Apple,453.35,True,5.0,64,2025-07-18T02:59:12.777338,,,,Snapdragon 8 Gen 2,,256GB,48MP,3000mAh
AET252,Mandatory stable neural-net,Television,LG,1711.06,True,4.0,805,2025-07-18T02:59:12.777389,QLED,43 inch,True,,,,,
GDb863,Re-engineered systematic alliance,Smartphone,Apple,1816.4,True,5.0,398,2025-07-18T02:59:12.777443,,,,Snapdragon 8 Gen 2,,128GB,48MP,4000mAh
ABe891,User-centric upward-trending product,Television,Sony,1702.17,True,4.3,161,2025-07-18T02:59:12.777495,OLED,55 inch,True,,,,,
VCr780,Diverse methodical open architecture,Television,Sony,265.67,True,4.3,150,2025-07-18T02:59:12.777547,QLED,43 inch,True,,,,,
YME064,Optimized explicit time-frame,Laptop,Dell,1341.43,True,4.2,444,2025-07-18T02:59:12.777611,,13.3 inch,,AMD Ryzen 5,16GB,512GB SSD,,
jNM558,Managed asynchronous project,Laptop,Dell,1234.07,False,4.2,623,2025-07-18T02:59:12.777663,,15.6 inch,,Intel i5,8GB,256GB SSD,,
Gwb813,Down-sized motivating database,Smartphone,OnePlus,379.62,True,4.2,320,2025-07-18T02:59:12.777711,,,,A16 Bionic,,128GB,48MP,4000mAh
Qqj752,Streamlined foreground matrices,Laptop,Dell,1856.54,False,4.5,311,2025-07-18T02:59:12.777770,,13.3 inch,,Intel i5,8GB,512GB SSD,,
qZU565,Integrated fresh-thinking budgetary management,Smartphone,Samsung,1531.31,True,3.7,920,2025-07-18T02:59:12.777826,,,,A16 Bionic,,128GB,48MP,3000mAh
nkp154,Right-sized multimedia solution,Television,Sony,1243.74,True,4.3,364,2025-07-18T02:59:12.777876,OLED,43 inch,True,,,,,
PVl992,Synergized analyzing Internet solution,Smartphone,Samsung,588.82,False,4.3,831,2025-07-18T02:59:12.777930,,,,Snapdragon 8 Gen 2,,128GB,48MP,4000mAh
lzO475,Re-engineered local conglomeration,Laptop,Lenovo,656.91,False,4.5,468,2025-07-18T02:59:12.777980,,15.6 inch,,Intel i5,16GB,512GB SSD,,
tlw949,Distributed eco-centric benchmark,Television,Sony,1973.19,True,3.7,956,2025-07-18T02:59:12.778039,OLED,43 inch,True,,,,,
xDW369,Digitized fault-tolerant portal,Smartphone,OnePlus,1568.43,True,4.3,839,2025-07-18T02:59:12.778086,,,,Snapdragon 8 Gen 2,,128GB,48MP,4000mAh
MNp730,Front-line interactive knowledgebase,Laptop,Lenovo,1373.26,True,3.6,296,2025-07-18T02:59:12.778135,,13.3 inch,,Intel i7,8GB,512GB SSD,,
DFX074,Synergistic maximized forecast,Smartphone,OnePlus,1556.12,False,4.1,96,2025-07-18T02:59:12.778215,,,,Snapdragon 8 Gen 2,,128GB,12MP,3000mAh
rqC811,Inverse secondary emulation,Laptop,HP,716.79,True,3.7,573,2025-07-18T02:59:12.778274,,13.3 inch,,AMD Ryzen 5,16GB,256GB SSD,,
PtC909,Synchronized intangible interface,Television,Samsung,252.58,True,4.9,17,2025-07-18T02:59:12.778329,QLED,43 inch,True,,,,,
